make,component,complaint_count,crash_count,crash_rate_pct
FORD,"AIR BAGS,SEAT BELTS,SEATS",5,3.0,60.0
FORD,"AIR BAGS,STRUCTURE",7,4.0,57.14
FORD,AIR BAGS,268,105.0,39.18
FORD,"STEERING,SERVICE BRAKES",14,5.0,35.71
FORD,"POWER TRAIN,STRUCTURE",6,2.0,33.33
FORD,"AIR BAGS,SEAT BELTS",40,12.0,30.0
FORD,"SUSPENSION,WHEELS",11,3.0,27.27
FORD,PARKING BRAKE,9,2.0,22.22
FORD,"EXTERIOR LIGHTING,UNKNOWN OR OTHER",5,1.0,20.0
FORD,"STEERING,LANE DEPARTURE",10,2.0,20.0
FORD,"VEHICLE SPEED CONTROL,SERVICE BRAKES",5,1.0,20.0
FORD,"STEERING,SUSPENSION,UNKNOWN OR OTHER",5,1.0,20.0
FORD,"STEERING,STRUCTURE",5,1.0,20.0
FORD,"BACK OVER PREVENTION,FORWARD COLLISION AVOIDANCE",5,1.0,20.0
FORD,"SERVICE BRAKES,FORWARD COLLISION AVOIDANCE",21,4.0,19.05
FORD,"UNKNOWN OR OTHER,SERVICE BRAKES",16,3.0,18.75
FORD,"AIR BAGS,UNKNOWN OR OTHER",11,2.0,18.18
FORD,VEHICLE SPEED CONTROL,100,17.0,17.0
FORD,"ENGINE,FORWARD COLLISION AVOIDANCE",6,1.0,16.67
FORD,"STRUCTURE,SERVICE BRAKES",6,1.0,16.67
FORD,"SUSPENSION,STRUCTURE",13,2.0,15.38
FORD,"STEERING,SUSPENSION,WHEELS",13,2.0,15.38
FORD,"POWER TRAIN,ELECTRICAL SYSTEM,SERVICE BRAKES",7,1.0,14.29
FORD,"STEERING,ENGINE,FUEL/PROPULSION SYSTEM",7,1.0,14.29
FORD,"UNKNOWN OR OTHER,FORWARD COLLISION AVOIDANCE",7,1.0,14.29
FORD,"VISIBILITY/WIPER,BACK OVER PREVENTION",7,1.0,14.29
FORD,"STRUCTURE,ENGINE",14,2.0,14.29
FORD,"ELECTRICAL SYSTEM,SERVICE BRAKES,ENGINE",14,2.0,14.29
FORD,"POWER TRAIN,SERVICE BRAKES",15,2.0,13.33
FORD,"VEHICLE SPEED CONTROL,ENGINE",40,5.0,12.5
FORD,"STEERING,ELECTRICAL SYSTEM",34,4.0,11.76
FORD,"STEERING,SUSPENSION,POWER TRAIN",9,1.0,11.11
FORD,"FORWARD COLLISION AVOIDANCE,LANE DEPARTURE",9,1.0,11.11
FORD,"ELECTRICAL SYSTEM,EXTERIOR LIGHTING,ENGINE",9,1.0,11.11
FORD,"ELECTRICAL SYSTEM,SERVICE BRAKES",19,2.0,10.53
FORD,SERVICE BRAKES,243,25.0,10.29
FORD,"ELECTRICAL SYSTEM,AIR BAGS,SEAT BELTS",10,1.0,10.0
FORD,"STEERING,ELECTRICAL SYSTEM,ELECTRONIC STABILITY CONTROL (ESC)",10,1.0,10.0
