make,year,complaints,recalls
FORD,2015,3418,47
FORD,2016,3938,37
FORD,2017,4538,39
FORD,2018,2573,31
FORD,2019,1044,24
FORD,2020,2682,72
FORD,2021,740,76
FORD,2022,487,73
FORD,2023,183,42
FORD,2024,157,36
FORD,2025,88,43
TESLA,2015,0,11
TESLA,2016,0,22
TESLA,2017,25,34
TESLA,2018,972,38
TESLA,2019,587,42
TESLA,2020,697,64
TESLA,2021,814,91
TESLA,2022,992,78
TESLA,2023,402,57
TESLA,2024,193,23
TESLA,2025,83,11
TOYOTA,2015,938,7
TOYOTA,2016,800,11
TOYOTA,2017,734,12
TOYOTA,2018,1480,16
TOYOTA,2019,1554,24
TOYOTA,2020,1242,13
TOYOTA,2021,734,4
TOYOTA,2022,297,3
TOYOTA,2023,275,12
TOYOTA,2024,277,10
TOYOTA,2025,219,6
